key,code,moment,duration-start,duration-end,amount,project-type,email,link,draft-mode,key:project,key:sponsor
sponsorship-08.2,SP-023,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,a@b.esx,http://www.lorem-ipsum.org,true,project-01,sponsor-01
sponsorship-08.3,SP-024,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,lorem-ipsum@dolor.sit.amet.a.consectetur.adipiscing.el.it.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es,http://www.lorem-ipsum.org,true,project-01,sponsor-01
sponsorship-08.4,SP-025,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,lorem-ipsum@dolor.sit.amet.a.consectetur.adipiscing.el.it.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.org,http://www.lorem-ipsum.org,true,project-01,sponsor-01
sponsorship-08.5,SP-026,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,null,http://www.lorem-ipsum.org,true,project-01,sponsor-01
sponsorship-08.6,SP-027,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,,http://www.lorem-ipsum.org,true,project-01,sponsor-01
sponsorship-09.1,SP-029,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,ftp://a,true,project-01,sponsor-01
sponsorship-09.2,SP-030,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,ftp://ab,true,project-01,sponsor-01
sponsorship-09.3,SP-031,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aut/",true,project-01,sponsor-01
sponsorship-09.4,SP-032,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",true,project-01,sponsor-01
sponsorship-09.5,SP-033,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,https://www.lorem-ipsum.org,true,project-01,sponsor-01
sponsorship-09.6,SP-034,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,ftp://www.lorem-ipsum.org,true,project-01,sponsor-01
sponsorship-09.7,SP-035,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,http://www.lorem-ipsum.org/dolor/sit.html,true,project-01,sponsor-01
sponsorship-09.8,SP-036,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,http://www.lorem-ipsum.org/dolor/sit.html#dolor,true,project-01,sponsor-01
sponsorship-09.9,SP-037,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,http://example.org?a=1&b=2,true,project-01,sponsor-01
sponsorship-09.10,SP-038,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,http://example.org?,true,project-01,sponsor-01
sponsorship-09.11,SP-039,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,http://example.org?a,true,project-01,sponsor-01
sponsorship-09.12,SP-040,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,http://example.org?a&b,true,project-01,sponsor-01
sponsorship-09.13,SP-041,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,http://example.org/,true,project-01,sponsor-01
sponsorship-09.14,SP-042,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,http://example.org/a,true,project-01,sponsor-01
sponsorship-09.15,SP-043,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,http://example.org/a/b,true,project-01,sponsor-01
sponsorship-09.16,SP-044,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,http://example.org/a/b?,true,project-01,sponsor-01
sponsorship-09.17,SP-045,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,http://example.org/a/b?a&b,true,project-01,sponsor-01
sponsorship-09.18,SP-046,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,null,true,project-01,sponsor-01
sponsorship-09.19,SP-047,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,,true,project-01,sponsor-01
sponsorship-10,SP-048,2022/07/29 23:00,2022/09/01 10:00,2022/11/23 21:00,"EUR 100.00",FINANCIAL,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,project-01,sponsor-01
